,,,,,,,,,,,,
 ,All Sites,Level 0 Main,Level 1 Main, Level 1 Side,Level 2 Main,University Link,School,University,weekday/end,event,,
2015-02-02,694,124,52,12,506,1793,1,1,1,0,,
2015-02-03,3404,786,225,60,2333,3247,1,1,1,1,,
2015-02-04,2850,668,225,50,1907,2549,1,1,1,0,,
2015-02-05,3189,736,132,49,2272,2801,1,1,1,0,,
2015-02-06,2575,588,120,38,1829,2311,1,1,1,0,,
2015-02-07,1051,251,190,40,570,301,1,1,0,0,,
2015-02-08,662,135,119,11,397,170,1,1,0,0,,
2015-02-09,3107,695,156,27,2229,2770,1,1,1,0,,
2015-02-10,3261,747,189,29,2296,2985,1,1,1,0,,
2015-02-11,4378,2133,153,43,2049,3226,1,1,1,0,,
2015-02-12,4767,2280,166,23,2298,2467,1,1,1,0,,
2015-02-13,4194,2101,140,20,1933,2118,0,1,1,0,,
2015-02-14,1906,1116,212,47,531,228,0,1,0,0,,
2015-02-15,1435,819,70,7,539,151,0,1,0,0,,
2015-02-16,6468,3306,441,27,2694,2866,0,1,1,0,,
2015-02-17,6262,3398,265,53,2546,3071,0,1,1,0,,
2015-02-18,5500,3031,196,48,2225,2369,0,1,1,0,,
2015-02-19,6718,3583,316,59,2760,2486,0,1,1,1,,
2015-02-20,5684,3181,253,31,2219,2079,0,1,1,0,,
2015-02-21,2725,1609,290,45,781,389,0,1,0,0,,
2015-02-22,1404,565,182,102,555,230,1,1,0,0,,
2015-02-23,5348,2743,215,39,2351,2866,1,1,1,0,,
2015-02-24,5380,2798,230,43,2309,3229,1,1,1,0,,
2015-02-25,4669,2410,296,28,1935,2473,1,1,1,0,,
2015-02-26,5004,2750,249,38,1967,2803,1,1,1,0,,
2015-02-27,4480,2401,327,31,1721,2407,1,1,1,0,,
2015-02-28,4333,2470,410,60,1393,2244,1,1,0,0,,
2015-03-01,2267,1159,249,34,825,294,1,1,0,1,,
2015-03-02,5231,2777,152,25,2277,3003,1,1,1,1,,
2015-03-03,5314,2905,205,21,2183,3193,1,1,1,1,,
2015-03-04,4292,2494,172,17,1609,2604,1,1,1,1,,
2015-03-05,4865,2767,216,28,1854,2746,1,1,1,1,,
2015-03-06,4212,2311,253,26,1622,2384,1,1,1,1,,
