,,,,,,,,,,,,
 ,All Sites,Level 0 Main,Level 1 Main, Level 1 Side,Level 2 Main,University Link,School,University,weekday/end,event,more info,
2015-02-02,694,124,52,12,506,"1,793",1,1,1,0,,
2015-02-03,"3,404",786,225,60,"2,333","3,247",1,1,1,1,"BCU city talks, gok bares all",
2015-02-04,"2,850",668,225,50,"1,907","2,549",1,1,1,0,,
2015-02-05,"3,189",736,132,49,"2,272","2,801",1,1,1,0,,
2015-02-06,"2,575",588,120,38,"1,829","2,311",1,1,1,0,,
2015-02-07,"1,051",251,190,40,570,301,1,1,0,0,,
2015-02-08,662,135,119,11,397,170,1,1,0,0,,
2015-02-09,"3,107",695,156,27,"2,229","2,770",1,1,1,0,,
2015-02-10,"3,261",747,189,29,"2,296","2,985",1,1,1,0,,
2015-02-11,"4,378","2,133",153,43,"2,049","3,226",1,1,1,0,,
2015-02-12,"4,767","2,280",166,23,"2,298","2,467",1,1,1,0,,
2015-02-13,"4,194","2,101",140,20,"1,933","2,118",0,1,1,0,,
2015-02-14,"1,906","1,116",212,47,531,228,0,1,0,0,,
2015-02-15,"1,435",819,70,7,539,151,0,1,0,0,,
2015-02-16,"6,468","3,306",441,27,"2,694","2,866",0,1,1,0,,
2015-02-17,"6,262","3,398",265,53,"2,546","3,071",0,1,1,0,,
2015-02-18,"5,500","3,031",196,48,"2,225","2,369",0,1,1,0,,
2015-02-19,"6,718","3,583",316,59,"2,760","2,486",0,1,1,1,bcu city talks gok bares all,
2015-02-20,"5,684","3,181",253,31,"2,219","2,079",0,1,1,0,,
2015-02-21,"2,725","1,609",290,45,781,389,0,1,0,0,,
2015-02-22,"1,404",565,182,102,555,230,1,1,0,0,,
2015-02-23,"5,348","2,743",215,39,"2,351","2,866",1,1,1,0,,
2015-02-24,"5,380","2,798",230,43,"2,309","3,229",1,1,1,0,,
2015-02-25,"4,669","2,410",296,28,"1,935","2,473",1,1,1,0,,
2015-02-26,"5,004","2,750",249,38,"1,967","2,803",1,1,1,0,,
2015-02-27,"4,480","2,401",327,31,"1,721","2,407",1,1,1,0,,
2015-02-28,"4,333","2,470",410,60,"1,393","2,244",1,1,0,0,,
2015-03-01,"2,267","1,159",249,34,825,294,1,1,0,1,digital frontier alien worlds,
2015-03-02,"5,231","2,777",152,25,"2,277","3,003",1,1,1,1,digital frontier alien worlds,
2015-03-03,"5,314","2,905",205,21,"2,183","3,193",1,1,1,1,digital frontier alien worlds,
2015-03-04,"4,292","2,494",172,17,"1,609","2,604",1,1,1,1,digital frontier alien worlds,
2015-03-05,"4,865","2,767",216,28,"1,854","2,746",1,1,1,1,digital frontier alien worlds,
2015-03-06,"4,212","2,311",253,26,"1,622","2,384",1,1,1,1,digital frontier alien worlds,
2015-03-07,"3,003","1,886",315,82,720,546,1,1,0,1,digital frontier alien worlds,
2015-03-08,"2,182","1,048",258,28,848,444,1,1,0,1,digital frontier alien worlds,
2015-03-09,"5,027","2,772",209,34,"2,012","3,081",1,1,1,1,digital frontier alien worlds,
2015-03-10,"4,951","2,840",192,38,"1,881","2,966",1,1,1,1,digital frontier alien worlds,
2015-03-11,"5,290","2,921",329,51,"1,989","3,650",1,1,1,1,digital frontier alien worlds,
2015-03-12,"4,708","2,669",197,38,"1,804","2,970",1,1,1,1,digital frontier alien worlds,
2015-03-13,"4,432","2,445",286,34,"1,667","2,610",1,1,1,1,digital frontier alien worlds,
